                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.73717,                 1.2762,                0.58667,                 1.9459,                0.78518,                0.75132,                0.78647,                0.51365,                0.77835,                0.73704,                0.77532,                0.48702,                 2.0157,                 3.6772,                 1.6015,                 3.0426,              0.0015405,              0.0015405,              0.0015405
                     26,                0.72435,                 1.2711,                0.56513,                 1.9337,                0.83206,                 0.7432,                 0.8292,                0.53518,                0.82428,                0.73519,                0.82014,                0.50907,                  1.974,                 3.5482,                 1.5081,                 3.0099,               0.001505,               0.001505,               0.001505
                     27,                0.72509,                 1.2277,                0.55612,                 1.9317,                0.82356,                0.71852,                0.81248,                0.53447,                0.82652,                0.71466,                0.80912,                0.50469,                 2.0933,                 3.8398,                 1.7751,                  3.142,              0.0014687,              0.0014687,              0.0014687
                     28,                0.72497,                 1.2458,                0.54603,                 1.9365,                0.78835,                0.75185,                0.81072,                0.53394,                 0.7723,                0.76296,                0.80605,                0.50154,                 2.0471,                 3.7596,                 1.6054,                 3.0482,              0.0014315,              0.0014315,              0.0014315
                     29,                0.70398,                 1.1986,                0.54501,                 1.9164,                0.86497,                0.75185,                0.82971,                0.53323,                 0.8507,                0.74074,                0.81556,                0.49952,                  2.055,                    nan,                 1.8692,                 3.1031,              0.0013936,              0.0013936,              0.0013936
                     30,                0.70265,                 1.2132,                0.54852,                 1.9208,                0.80233,                0.74444,                0.80028,                0.53037,                0.80728,                0.72142,                0.78978,                0.49743,                 2.0101,                 3.7525,                 1.5843,                 3.0418,              0.0013551,              0.0013551,              0.0013551
                     31,                0.69627,                 1.2065,                0.53558,                  1.915,                0.78515,                0.75926,                0.81088,                0.53456,                0.78878,                0.76763,                0.81729,                0.50424,                  2.041,                    nan,                 1.6496,                 3.0378,              0.0013159,              0.0013159,              0.0013159
                     32,                0.69412,                 1.1914,                0.53278,                 1.9116,                0.79196,                0.73704,                0.79389,                0.52211,                0.78997,                0.73519,                0.78669,                0.49052,                  1.994,                    nan,                    nan,                 2.9977,              0.0012762,              0.0012762,              0.0012762
                     33,                0.70407,                 1.2018,                0.53628,                 1.9183,                0.85812,                  0.728,                0.82814,                0.55159,                0.83691,                0.72407,                0.81363,                0.50336,                 1.9747,                    nan,                    nan,                  2.995,              0.0012361,              0.0012361,              0.0012361
                     34,                0.68091,                 1.1745,                0.52116,                 1.9095,                0.81893,                0.76481,                0.82652,                0.55334,                0.79759,                0.73699,                 0.8001,                0.49357,                  1.952,                    nan,                 1.5172,                 2.9419,              0.0011955,              0.0011955,              0.0011955
                     35,                0.65421,                 1.1082,                0.50288,                 1.8874,                 0.8668,                0.71099,                0.82255,                0.53898,                0.85099,                0.69803,                0.79673,                0.49258,                 2.0011,                    nan,                    nan,                 2.9767,              0.0011546,              0.0011546,              0.0011546
                     36,                0.66341,                 1.1344,                0.50603,                  1.899,                0.83077,                0.72726,                0.82216,                0.54467,                0.81197,                0.69444,                0.79889,                0.49456,                 1.9753,                    nan,                    nan,                 3.0212,              0.0011135,              0.0011135,              0.0011135
                     37,                0.64252,                 1.0866,                0.48643,                 1.8892,                0.87055,                 0.7223,                0.82679,                0.54997,                0.85422,                0.73148,                0.82231,                0.50482,                 1.9737,                    nan,                    nan,                 2.9792,              0.0010722,              0.0010722,              0.0010722
                     38,                 0.6426,                 1.1076,                0.48856,                 1.8885,                0.86808,                0.76667,                0.84865,                0.55934,                0.86389,                0.76296,                0.84103,                 0.5184,                 1.9948,                    nan,                    nan,                 2.9946,              0.0010307,              0.0010307,              0.0010307
                     39,                0.63999,                 1.0886,                0.48844,                 1.8955,                0.84625,                0.75425,                0.82731,                0.54624,                0.82888,                0.74074,                0.80796,                0.48871,                 1.9798,                    nan,                    nan,                 3.0101,             0.00098927,             0.00098927,             0.00098927
                     40,                0.64741,                  1.124,                0.50044,                 1.8942,                0.83964,                0.78537,                0.84481,                0.56906,                0.82388,                0.76852,                0.82583,                 0.5019,                 1.9493,                    nan,                    nan,                 2.9499,             0.00094784,             0.00094784,             0.00094784
                     41,                0.60972,                 1.0496,                0.46162,                 1.8707,                0.83093,                0.76111,                 0.8253,                0.53106,                0.80304,                0.73519,                0.79447,                0.47708,                 1.9782,                    nan,                    nan,                 2.9715,             0.00090652,             0.00090652,             0.00090652
                     42,                0.63159,                 1.0697,                0.46485,                  1.891,                0.85023,                0.73589,                0.83053,                0.55113,                 0.8463,                0.73148,                0.81884,                 0.4971,                 1.9793,                    nan,                    nan,                 2.9859,             0.00086538,             0.00086538,             0.00086538
                     43,                0.62237,                 1.0763,                0.47492,                 1.8753,                0.83853,                0.76936,                0.84456,                0.56186,                0.83214,                0.74444,                0.82625,                0.51042,                 1.9833,                    nan,                    nan,                 2.9961,             0.00082449,             0.00082449,             0.00082449
                     44,                0.61225,                 1.0536,                0.47113,                 1.8682,                0.82521,                0.74815,                 0.8258,                0.55097,                 0.8064,                0.76296,                0.81716,                0.49473,                 1.9498,                    nan,                 1.4919,                 2.9492,             0.00078393,             0.00078393,             0.00078393
                     45,                0.60879,                 1.0811,                 0.4621,                 1.8716,                0.84978,                0.75424,                0.83754,                0.55749,                0.83524,                0.74165,                0.81543,                0.50327,                 1.9914,                    nan,                 1.4733,                 2.9929,             0.00074377,             0.00074377,             0.00074377
                     46,                0.59647,                  1.029,                0.45021,                 1.8687,                0.84107,                0.77593,                0.83664,                0.56409,                0.82818,                0.76481,                0.81984,                0.50748,                 1.9858,                    nan,                 1.4173,                 3.0346,             0.00070407,             0.00070407,             0.00070407
                     47,                0.58366,                0.99417,                0.44157,                 1.8573,                0.82747,                0.76667,                0.83055,                0.55561,                0.81287,                 0.7537,                0.81405,                0.50738,                 1.9882,                    nan,                 1.3762,                 2.9799,             0.00066491,             0.00066491,             0.00066491
                     48,                0.58698,                 1.0071,                0.44011,                 1.8601,                0.86307,                   0.75,                0.84598,                0.55907,                0.84982,                0.73889,                0.83056,                0.50587,                 2.0106,                 3.9352,                 1.2857,                 3.0452,             0.00062636,             0.00062636,             0.00062636
                     49,                 0.5779,                0.99107,                0.43728,                 1.8512,                0.85867,                0.76508,                 0.8424,                0.55683,                 0.8462,                0.75397,                0.82809,                0.51309,                  1.991,                 3.9273,                 1.4153,                 3.0064,             0.00058848,             0.00058848,             0.00058848
                     50,                0.56635,                0.98327,                0.43816,                   1.85,                0.86069,                0.76655,                0.84659,                0.56099,                0.84018,                0.75935,                0.82728,                0.50925,                 1.9751,                    nan,                 1.4155,                  2.941,             0.00055134,             0.00055134,             0.00055134
                     51,                0.56403,                0.98317,                  0.425,                 1.8371,                0.85785,                0.79348,                0.86128,                0.57774,                0.84351,                0.78148,                0.83665,                 0.5137,                  1.966,                 3.8785,                  1.303,                 2.9512,               0.000515,               0.000515,               0.000515
                     52,                0.56688,                0.97485,                0.41596,                  1.849,                0.84596,                0.78307,                0.85637,                0.57848,                0.83733,                 0.7721,                0.84153,                0.51792,                 1.9244,                 3.8706,                  1.348,                 2.9361,             0.00047953,             0.00047953,             0.00047953
                     53,                0.56258,                0.96492,                0.41966,                 1.8534,                 0.8462,                 0.7963,                0.86127,                0.57592,                0.83656,                0.78671,                0.84735,                0.52004,                 1.9672,                    nan,                 1.3035,                 2.9348,             0.00044499,             0.00044499,             0.00044499
                     54,                0.53338,                0.94178,                0.40391,                 1.8282,                0.86903,                0.77963,                0.86415,                  0.575,                0.85878,                0.76852,                0.84551,                0.51877,                 1.9447,                    nan,                 1.2622,                 2.9315,             0.00041145,             0.00041145,             0.00041145
                     55,                0.53397,                0.91796,                0.39891,                 1.8303,                0.84673,                0.78704,                0.86277,                0.57898,                0.87976,                0.74525,                0.84027,                0.51317,                 1.9454,                    nan,                  1.245,                 2.9092,             0.00037895,             0.00037895,             0.00037895
                     56,                0.54566,                 0.9218,                0.40216,                 1.8424,                0.85062,                0.80145,                0.86196,                0.57684,                0.82793,                 0.7752,                0.83397,                0.51353,                 1.9231,                 3.9389,                 1.3289,                 2.9162,             0.00034756,             0.00034756,             0.00034756
                     57,                0.52134,                0.91138,                 0.3939,                 1.8205,                0.87293,                0.76329,                0.86082,                0.57763,                0.85729,                0.74536,                0.83933,                0.52033,                 1.9241,                    nan,                  1.284,                 2.9276,             0.00031733,             0.00031733,             0.00031733
                     58,                0.53041,                0.91116,                0.39392,                 1.8287,                0.88183,                0.76003,                0.85943,                0.57263,                0.86894,                0.74892,                0.84044,                0.52197,                 1.9332,                 3.8953,                 1.2698,                 2.9331,             0.00028832,             0.00028832,             0.00028832
                     59,                0.51348,                0.90898,                0.39223,                 1.8203,                0.87737,                0.75521,                0.85628,                0.57503,                0.85627,                0.73915,                0.82862,                0.51521,                 1.9299,                    nan,                 1.2764,                 2.9505,             0.00026057,             0.00026057,             0.00026057
                     60,                0.52376,                0.90337,                0.38858,                 1.8311,                0.85307,                0.77778,                0.85606,                0.57321,                0.85016,                 0.7565,                0.83745,                0.51698,                 1.9371,                    nan,                 1.2781,                 2.9641,             0.00023414,             0.00023414,             0.00023414
                     61,                0.52534,                0.91988,                0.39512,                 1.8329,                0.82457,                0.80185,                0.85344,                 0.5742,                0.81197,                0.79074,                0.83793,                0.51376,                 1.9312,                    nan,                 1.2584,                 2.9512,             0.00020907,             0.00020907,             0.00020907
                     62,                0.49717,                0.87477,                0.37337,                 1.8158,                0.85265,                0.79259,                0.86041,                  0.582,                0.84531,                0.78148,                0.84118,                0.51908,                 1.9203,                    nan,                 1.2293,                 2.9224,             0.00018541,             0.00018541,             0.00018541
                     63,                0.49855,                0.90529,                0.38445,                 1.8206,                0.84071,                    0.8,                0.86265,                0.58175,                0.84196,                0.77939,                0.84556,                0.51478,                 1.9273,                    nan,                 1.2654,                 2.9334,             0.00016319,             0.00016319,             0.00016319
                     64,                0.50393,                0.86827,                0.37693,                 1.8242,                0.85455,                0.79427,                0.85979,                0.57957,                0.83662,                 0.7776,                0.84209,                0.52057,                 1.9374,                    nan,                 1.2438,                 2.9508,             0.00014246,             0.00014246,             0.00014246
                     65,                0.51503,                0.90519,                0.37917,                 1.8261,                0.84105,                0.79444,                0.85389,                0.57497,                0.82774,                0.78307,                0.83996,                0.51676,                 1.9336,                    nan,                  1.247,                  2.953,             0.00012325,             0.00012325,             0.00012325
                     66,                   1.38,                 2.6178,                0.88221,                 2.4769,                 0.8596,                0.78333,                0.85773,                0.58448,                 0.8485,                0.77787,                0.84808,                0.52369,                 1.9312,                  3.859,                  1.307,                 2.9562,             0.00010559,             0.00010559,             0.00010559
                     67,                 1.3693,                 2.5578,                0.87146,                 2.4409,                0.85119,                0.78387,                0.86104,                0.58777,                0.84114,                0.77461,                0.84863,                0.52441,                 1.9168,                 3.8537,                 1.2587,                 2.9305,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     68,                 1.3488,                 2.5007,                0.85769,                 2.4234,                 0.8532,                0.79646,                 0.8681,                0.58851,                0.84299,                0.78148,                0.84867,                0.51984,                 1.9191,                 3.9075,                 1.2713,                 2.9144,             7.5067e-05,             7.5067e-05,             7.5067e-05
                     69,                 1.3397,                 2.4933,                0.83286,                 2.4255,                0.88779,                0.77222,                0.86504,                 0.5897,                0.87664,                0.76296,                0.84999,                0.51873,                  1.915,                 3.9019,                  1.257,                 2.9342,             6.2254e-05,             6.2254e-05,             6.2254e-05
                     70,                  1.332,                 2.4903,                0.84267,                 2.4165,                0.87586,                0.77091,                0.86497,                0.58776,                0.86137,                0.75941,                 0.8422,                0.51092,                 1.9178,                 3.9463,                 1.2649,                 2.9353,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     71,                 1.3023,                 2.4527,                 0.7826,                 2.3665,                0.84985,                 0.7966,                0.86823,                0.58683,                0.85934,                0.75801,                0.84626,                 0.5169,                 1.9246,                 3.9134,                 1.2726,                 2.9388,             4.1634e-05,             4.1634e-05,             4.1634e-05
                     72,                 1.3235,                 2.4947,                0.80276,                 2.3967,                0.87545,                0.77593,                0.86929,                0.58802,                0.86021,                 0.7635,                0.84949,                0.51682,                 1.9144,                 3.9149,                 1.2454,                 2.9285,             3.3864e-05,             3.3864e-05,             3.3864e-05
                     73,                 1.3091,                 2.4578,                0.84587,                 2.3875,                0.86127,                 0.7933,                0.86673,                0.58871,                0.85064,                0.76993,                  0.846,                0.51678,                 1.9104,                 3.9236,                  1.239,                 2.9126,             2.7806e-05,             2.7806e-05,             2.7806e-05
                     74,                 1.3021,                 2.4831,                0.80434,                 2.3984,                0.84936,                0.80556,                0.86995,                0.59032,                0.83323,                0.79074,                 0.8504,                0.51761,                 1.9155,                 3.9243,                 1.2514,                 2.9211,             2.3472e-05,             2.3472e-05,             2.3472e-05
                     75,                 1.3109,                 2.3989,                 0.7876,                 2.3832,                0.85462,                0.79466,                0.87194,                 0.5912,                0.84385,                0.78148,                0.85073,                0.52116,                 1.9161,                 3.9142,                 1.2519,                 2.9215,             2.0868e-05,             2.0868e-05,             2.0868e-05
