                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90732,                 1.7374,                0.65238,                 2.0142,                0.81019,                0.77407,                0.81633,                0.53829,                0.81557,                0.76159,                0.81575,                0.52049,                 2.1371,                 3.9275,                 1.5072,                 3.3362,             0.00066565,             0.00066565,             0.00066565
                      2,                 1.0214,                 1.9699,                0.76591,                 2.1204,                0.74778,                0.74074,                 0.7848,                0.49659,                0.73843,                0.73148,                0.78367,                0.47149,                 2.1833,                 4.1857,                    nan,                 3.3374,              0.0013317,              0.0013317,              0.0013317
                      3,                 1.0153,                 1.9001,                0.77825,                 2.1061,                0.81505,                0.69259,                0.78446,                0.50931,                0.81002,                0.68704,                0.78051,                0.47807,                 2.0959,                 4.0035,                 1.6609,                 3.2331,              0.0019955,              0.0019955,              0.0019955
                      4,                 1.0153,                 1.8982,                0.79365,                  2.098,                0.73511,                0.66481,                0.72989,                0.46973,                 0.7311,                0.67778,                0.73265,                0.44021,                  2.123,                 3.8054,                 2.1021,                 3.1881,              0.0019922,              0.0019922,              0.0019922
                      5,                0.99723,                  1.812,                0.76386,                 2.0941,                0.76444,                0.71514,                0.78073,                 0.4995,                0.76242,                0.70556,                0.77245,                 0.4746,                 2.2025,                 3.7968,                 1.6016,                 3.3031,              0.0019861,              0.0019861,              0.0019861
                      6,                0.96829,                 1.7672,                 0.7529,                   2.08,                0.81109,                0.69074,                0.79537,                0.50443,                 0.8308,                0.67285,                0.78172,                 0.4787,                 2.1458,                    nan,                    nan,                 3.2193,              0.0019784,              0.0019784,              0.0019784
                      7,                0.96821,                 1.7399,                0.74862,                 2.0758,                0.77799,                0.71385,                0.78857,                0.52125,                0.73799,                0.73519,                0.78432,                0.49955,                 2.1001,                 3.6954,                 1.5022,                 3.1165,              0.0019689,              0.0019689,              0.0019689
                      8,                  0.928,                 1.6705,                0.70907,                 2.0377,                0.77099,                 0.7232,                0.78326,                0.49779,                0.77691,                0.72875,                0.78167,                0.47252,                 2.1435,                 3.8541,                 1.5453,                 3.2293,              0.0019577,              0.0019577,              0.0019577
                      9,                0.92985,                  1.687,                0.72673,                 2.0692,                 0.7353,                0.71481,                0.76022,                0.49043,                0.72768,                0.70741,                0.75762,                0.45601,                  2.108,                 3.8841,                    nan,                 3.1795,              0.0019449,              0.0019449,              0.0019449
                     10,                0.90127,                 1.6071,                0.68337,                 2.0366,                0.80944,                0.72367,                0.81383,                0.53454,                0.79635,                 0.7169,                0.80284,                0.50258,                 2.0955,                 3.7105,                 1.5615,                 3.2343,              0.0019305,              0.0019305,              0.0019305
                     11,                0.90515,                 1.5859,                0.69413,                 2.0363,                0.81987,                0.70556,                0.78611,                0.51265,                0.81126,                0.69815,                0.78079,                0.47825,                  2.061,                 3.7599,                 1.6701,                 3.1042,              0.0019144,              0.0019144,              0.0019144
                     12,                 0.8793,                 1.5704,                0.68565,                  2.023,                0.80276,                0.71296,                0.77854,                0.49374,                0.80362,                0.71296,                0.77121,                 0.4727,                 2.1761,                 3.7285,                 1.5588,                 3.2711,              0.0018968,              0.0018968,              0.0018968
                     13,                0.86791,                 1.5163,                0.66305,                 2.0109,                0.85072,                0.67541,                 0.7923,                0.52236,                0.85072,                0.67541,                0.78671,                0.49066,                 2.1073,                 3.6732,                 1.6228,                 3.1338,              0.0018775,              0.0018775,              0.0018775
                     14,                0.85631,                 1.4844,                0.66608,                 2.0104,                0.74983,                0.76111,                 0.7888,                0.51079,                0.74562,                0.75556,                0.78492,                0.48181,                 2.1293,                 3.6608,                 1.7459,                  3.194,              0.0018568,              0.0018568,              0.0018568
                     15,                  0.839,                 1.4857,                0.66109,                 2.0062,                 0.7962,                0.72778,                0.79586,                0.50965,                 0.7962,                0.72778,                0.78807,                0.48293,                 2.0511,                 3.7152,                 1.5786,                 3.1202,              0.0018346,              0.0018346,              0.0018346
                     16,                0.84432,                 1.4776,                0.63547,                 2.0023,                0.79125,                0.74406,                 0.8161,                0.53335,                0.79292,                0.72963,                0.80558,                0.50824,                 2.0138,                 3.6222,                 1.4846,                 3.0279,              0.0018109,              0.0018109,              0.0018109
                     17,                0.82003,                 1.4425,                0.63439,                 1.9831,                0.79427,                0.73704,                0.79732,                0.51851,                0.78733,                 0.7267,                0.78644,                0.48278,                 2.0867,                 3.7654,                    nan,                 3.2075,              0.0017859,              0.0017859,              0.0017859
                     18,                0.82113,                 1.4401,                0.63445,                 1.9865,                0.79087,                0.74232,                0.81727,                0.52709,                0.79366,                0.74815,                 0.8135,                0.50266,                 2.1072,                 3.6704,                 1.5132,                 3.1058,              0.0017594,              0.0017594,              0.0017594
                     19,                0.80981,                 1.4104,                0.62986,                 1.9771,                0.78537,                0.75741,                0.81094,                0.52656,                0.77174,                0.74505,                0.79623,                0.49179,                 2.0941,                 3.7756,                 1.6775,                 3.0488,              0.0017317,              0.0017317,              0.0017317
                     20,                 0.7854,                 1.3728,                 0.6109,                 1.9606,                0.81241,                0.74815,                0.83665,                0.54436,                0.80733,                0.73889,                0.82791,                0.51443,                 2.0544,                  3.642,                 1.5152,                 3.0384,              0.0017027,              0.0017027,              0.0017027
                     21,                0.80302,                  1.407,                0.61652,                 1.9755,                0.85394,                0.72222,                0.81959,                0.52972,                0.83641,                0.72037,                0.81289,                0.49689,                 2.0253,                  3.721,                 1.5255,                 2.9917,              0.0016724,              0.0016724,              0.0016724
                     22,                 0.7929,                 1.3838,                0.62105,                 1.9774,                0.76975,                0.77593,                0.82744,                0.54335,                0.82008,                0.73704,                0.83233,                 0.5102,                  2.042,                 3.6309,                 1.4612,                 3.1052,               0.001641,               0.001641,               0.001641
                     23,                0.78272,                 1.3648,                0.61747,                 1.9668,                0.83359,                0.72593,                 0.8077,                0.52488,                0.81658,                0.71111,                 0.7958,                0.50234,                 2.0748,                 3.6742,                 1.5474,                 3.1102,              0.0016086,              0.0016086,              0.0016086
                     24,                0.76104,                  1.282,                0.58504,                 1.9494,                0.79799,                0.76078,                0.81739,                0.54315,                0.80975,                0.72778,                0.80716,                0.51245,                 1.9804,                 3.6917,                 1.4761,                  2.998,               0.001575,               0.001575,               0.001575
