                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.231,                  2.383,                0.89439,                 2.2573,                0.81508,                 0.7463,                0.82714,                0.55168,                0.80699,                0.73889,                0.81966,                0.51146,                 2.0681,                 3.8057,                 1.5307,                 3.2599,             0.00066565,             0.00066565,             0.00066565
                      2,                 1.0929,                 2.1075,                   0.82,                 2.1782,                0.78553,                0.71667,                0.79351,                0.50125,                0.77733,                0.72407,                0.78977,                0.47211,                 2.1939,                  4.147,                 1.5188,                 3.4178,              0.0013317,              0.0013317,              0.0013317
                      3,                   1.06,                 1.9973,                0.80707,                  2.144,                0.80406,                0.69154,                0.77779,                0.51477,                0.80622,                 0.6934,                0.77977,                0.48903,                 2.2173,                 4.0853,                 2.0209,                 3.3773,              0.0019955,              0.0019955,              0.0019955
                      4,                 1.0664,                 1.9826,                0.81651,                 2.1267,                 0.7838,                0.76296,                0.81895,                0.52957,                0.77809,                0.75741,                0.81715,                0.49299,                 2.1053,                 3.8704,                    nan,                 3.1917,              0.0019922,              0.0019922,              0.0019922
                      5,                 1.0186,                 1.8467,                0.77238,                 2.1117,                0.78831,                0.73889,                0.79892,                0.51126,                0.78192,                0.71667,                0.78466,                0.48051,                 2.1115,                 3.8392,                    nan,                 3.1964,              0.0019861,              0.0019861,              0.0019861
                      6,                 0.9715,                 1.7796,                0.74957,                 2.0896,                0.75299,                0.72222,                0.77673,                0.49653,                0.74801,                0.71462,                0.76999,                0.44727,                 2.1216,                 3.9091,                    nan,                  3.242,              0.0019784,              0.0019784,              0.0019784
                      7,                0.95082,                 1.7387,                0.73436,                 2.0561,                0.74783,                0.63333,                0.72537,                0.45683,                0.73957,                0.62582,                0.71964,                 0.4306,                 2.1156,                  3.713,                    nan,                 3.1423,              0.0019689,              0.0019689,              0.0019689
                      8,                0.94075,                 1.6854,                0.72697,                 2.0574,                0.82537,                0.72778,                0.79766,                0.50943,                0.82508,                0.72778,                 0.7905,                0.47791,                 2.1153,                 3.8888,                 2.1307,                 3.2431,              0.0019577,              0.0019577,              0.0019577
                      9,                0.94568,                  1.732,                0.74263,                 2.0707,                0.83438,                0.70556,                0.79521,                0.51168,                0.83876,                0.70926,                0.79886,                0.48717,                 2.0839,                 3.7257,                 2.0263,                  3.153,              0.0019449,              0.0019449,              0.0019449
                     10,                0.90744,                 1.6158,                 0.6985,                 2.0445,                0.83403,                0.72585,                0.81971,                0.53779,                0.81673,                0.71667,                  0.811,                0.50041,                 2.0457,                 3.7968,                  1.823,                 3.1172,              0.0019305,              0.0019305,              0.0019305
                     11,                0.90334,                 1.6152,                0.70404,                 2.0475,                0.78727,                0.72646,                0.78571,                0.51437,                0.79864,                 0.7198,                0.79064,                0.48331,                 2.0409,                 3.7843,                 1.7071,                 3.0665,              0.0019144,              0.0019144,              0.0019144
                     12,                0.89842,                 1.5982,                0.69333,                 2.0417,                0.69732,                0.68704,                0.67442,                0.42426,                0.69691,                0.68889,                0.67467,                0.39868,                 2.1489,                 3.8615,                 2.4675,                 3.2325,              0.0018968,              0.0018968,              0.0018968
                     13,                0.87736,                 1.5468,                0.67396,                 2.0206,                0.74754,                 0.6909,                0.75065,                0.48939,                0.74701,                0.69444,                0.75182,                0.45954,                 2.0707,                 3.7222,                    nan,                 3.1307,              0.0018775,              0.0018775,              0.0018775
                     14,                0.88278,                 1.5477,                0.67911,                 2.0287,                0.70898,                0.72636,                0.69851,                0.45771,                0.71019,                0.72593,                0.69235,                 0.4314,                 2.0694,                 3.7093,                    nan,                 3.0895,              0.0018568,              0.0018568,              0.0018568
                     15,                0.84075,                  1.505,                0.66301,                 2.0193,                0.62675,                0.73148,                0.59621,                0.37803,                0.62386,                 0.7037,                0.58302,                0.35141,                 2.1047,                 3.8421,                 5.9063,                 3.1877,              0.0018346,              0.0018346,              0.0018346
                     16,                0.84016,                 1.5022,                0.66005,                 2.0059,                   0.81,                0.73889,                0.80484,                0.53059,                0.80886,                0.73662,                0.79718,                0.50054,                 2.0343,                 3.7415,                 1.5045,                  3.064,              0.0018109,              0.0018109,              0.0018109
                     17,                0.81556,                 1.4431,                0.64847,                 1.9916,                0.79059,                0.72778,                0.80191,                0.52559,                0.79123,                0.73695,                0.79574,                0.48261,                  2.099,                 3.8241,                 1.7682,                 3.1403,              0.0017859,              0.0017859,              0.0017859
                     18,                0.81368,                 1.4256,                0.63286,                 1.9825,                  0.806,                0.70012,                0.78805,                0.52195,                 0.8131,                0.69074,                0.78704,                0.49288,                  2.016,                 3.6614,                 1.6073,                 3.0255,              0.0017594,              0.0017594,              0.0017594
                     19,                0.79644,                 1.4013,                0.62408,                 1.9682,                0.78169,                0.72276,                0.78166,                0.50609,                0.76567,                0.70795,                0.76835,                0.47427,                 2.0571,                 3.8741,                 1.4917,                  3.076,              0.0017317,              0.0017317,              0.0017317
                     20,                0.78385,                 1.3535,                0.62123,                 1.9644,                0.82858,                0.73401,                0.81993,                0.53024,                0.82263,                0.73004,                0.81684,                0.49578,                 2.0725,                 3.6652,                 1.5587,                 3.1079,              0.0017027,              0.0017027,              0.0017027
                     21,                0.78663,                  1.373,                0.60276,                 1.9699,                0.80673,                0.73704,                0.81896,                 0.5452,                0.80483,                0.73704,                0.81326,                 0.5065,                 2.0002,                 3.7302,                  1.591,                  3.011,              0.0016724,              0.0016724,              0.0016724
